primary_accession	OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
M01153_28_000000000-ABJE2_1_1101_10799_6648	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10806_19101	2	3	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10811_23291	0	0	2	0	0	0	2
M01153_28_000000000-ABJE2_1_1101_10815_13130	1	0	0	2	2	0	0
M01153_28_000000000-ABJE2_1_1101_10845_6776	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_10847_14096	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_10853_24691	1	0	46	0	39	0	56
M01153_28_000000000-ABJE2_1_1101_10858_5116	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1101_10868_23496	27	0	0	0	0	0	5
M01153_28_000000000-ABJE2_1_1101_10870_8487	61	48	83	76	15	0	130
M01153_28_000000000-ABJE2_1_1101_10873_13257	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10884_21077	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10887_5309	1	0	0	0	3	2	0
M01153_28_000000000-ABJE2_1_1101_10889_11143	0	0	17	0	57	17	5
M01153_28_000000000-ABJE2_1_1101_10891_17021	11	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10892_20677	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10892_24928	17	7	0	0	0	46	0
M01153_28_000000000-ABJE2_1_1101_10902_15895	0	141	21	0	2	0	8
M01153_28_000000000-ABJE2_1_1101_10904_4810	112	0	0	248	69	0	4
M01153_28_000000000-ABJE2_1_1101_10905_23309	148	3	18	181	131	0	6
M01153_28_000000000-ABJE2_1_1101_10914_9237	0	0	63	0	0	1	16
M01153_28_000000000-ABJE2_1_1101_10916_7897	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_10924_10777	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_10961_20547	0	0	1	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_10964_12404	0	0	0	0	0	0	362
M01153_28_000000000-ABJE2_1_1101_10969_25338	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_10970_22567	0	21	0	0	0	15	0
M01153_28_000000000-ABJE2_1_1101_10985_23035	371	0	169	45	0	184	0
M01153_28_000000000-ABJE2_1_1101_10985_4208	144	121	57	148	0	73	0
M01153_28_000000000-ABJE2_1_1101_10995_26901	0	2	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11000_22791	0	1	0	0	0	1	1
M01153_28_000000000-ABJE2_1_1101_11004_6060	64	0	0	0	20	0	0
M01153_28_000000000-ABJE2_1_1101_11005_19207	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_11012_13011	0	0	13	0	0	34	5
M01153_28_000000000-ABJE2_1_1101_11013_20393	34	0	2	69	22	0	0
M01153_28_000000000-ABJE2_1_1101_11021_11075	0	0	0	6	0	0	0
M01153_28_000000000-ABJE2_1_1101_11033_4877	3	0	23	1	0	0	11
M01153_28_000000000-ABJE2_1_1101_11043_18119	9	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11044_27603	76	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11058_5751	0	52	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11111_17879	3	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11124_12943	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_11124_19604	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_11126_2733	0	0	51	0	1	0	11
M01153_28_000000000-ABJE2_1_1101_11141_11227	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_11145_22963	113	16	457	122	0	16	0
M01153_28_000000000-ABJE2_1_1101_11155_23849	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_11167_4550	0	51	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11207_24162	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_11249_12728	0	0	23	0	9	0	0
M01153_28_000000000-ABJE2_1_1101_11262_4914	0	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_11271_11423	0	201	41	0	0	222	0
M01153_28_000000000-ABJE2_1_1101_11274_21211	0	0	4	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11295_25411	0	2	27	0	1	0	2
M01153_28_000000000-ABJE2_1_1101_11305_6513	0	0	0	121	0	0	0
M01153_28_000000000-ABJE2_1_1101_11306_20554	0	238	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11318_4603	0	0	0	10	0	0	0
M01153_28_000000000-ABJE2_1_1101_11327_13243	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11327_17789	15	0	0	0	1	0	0
M01153_28_000000000-ABJE2_1_1101_11329_4825	168	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11331_25593	0	118	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11332_6172	171	2	172	79	41	9	81
M01153_28_000000000-ABJE2_1_1101_11341_17430	0	0	0	0	0	0	1
M01153_28_000000000-ABJE2_1_1101_11367_8499	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11370_18625	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11374_13526	20	3	0	40	1	7	0
M01153_28_000000000-ABJE2_1_1101_11415_25657	0	0	0	1	0	0	0
M01153_28_000000000-ABJE2_1_1101_11437_18523	0	29	0	0	7	9	0
M01153_28_000000000-ABJE2_1_1101_11486_7551	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11500_10484	23	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11502_13791	0	0	0	0	29	0	0
M01153_28_000000000-ABJE2_1_1101_11512_23339	0	0	22	0	0	0	31
M01153_28_000000000-ABJE2_1_1101_11512_26728	0	0	1	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11523_25949	1	0	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11526_27805	0	0	0	0	0	0	33
M01153_28_000000000-ABJE2_1_1101_11528_4965	0	0	0	25	0	0	0
M01153_28_000000000-ABJE2_1_1101_11542_17727	15	0	280	0	0	139	86
M01153_28_000000000-ABJE2_1_1101_11543_15814	0	0	0	2	0	0	0
M01153_28_000000000-ABJE2_1_1101_11547_13848	0	69	0	0	0	9	0
M01153_28_000000000-ABJE2_1_1101_11559_22788	0	0	0	0	0	77	0
M01153_28_000000000-ABJE2_1_1101_11562_18757	0	0	0	47	0	0	0
M01153_28_000000000-ABJE2_1_1101_11566_3989	0	0	0	0	0	1	0
M01153_28_000000000-ABJE2_1_1101_11594_19309	0	1	0	0	0	0	0
M01153_28_000000000-ABJE2_1_1101_11603_16351	0	18	0	9	0	11	0
M01153_28_000000000-ABJE2_1_1101_11614_24417	8	87	0	0	1	27	0
M01153_28_000000000-ABJE2_1_1101_11621_3827	0	0	0	0	0	35	0
M01153_28_000000000-ABJE2_1_1101_11662_17525	25	52	0	53	48	0	0
M01153_28_000000000-ABJE2_1_1101_11671_27844	1	0	0	0	0	0	0
